FICE,Cname,State,Indicator,AMSAT,AVSAT,ACSAT,AACT,FQMSAT,TQMSAT,FQVSAT,TQVSAT,FQACT,TQACT,AppsRcvd,AppsAcpt,StdEnrolled,P10,P25,FTUGs,PTUGs,InStateTut,OosTut,RandBcost,RCost,Bcost,AddFee,EstBookCost,EstPspend,PPhD,PTermDig,SFRatio,PDonate,InsEXp,GradRate
1061,Alaska Pacific University,AK,2,490,482,972,20,440,530,430,550,18,22,193,146,55,16,44,249,869,7560,7560,4120,1620,2500,130,800,1500,76,72,11.9,2,10922,15
1063,University of Alaska at Fairbanks,AK,1,499,462,961,22,*,*,*,*,*,*,1852,1427,928,*,*,3885,4519,1742,5226,3590,1800,1790,155,650,2304,67,*,10.0,8,11935,*
1065,University of Alaska Southeast,AK,1,*,*,*,*,*,*,*,*,*,*,146,117,89,4,24,492,1849,1742,5226,4764,2514,2250,34,500,1162,39,51,9.5,*,9584,39
11462,University of Alaska at Anchorage,AK,1,459,422,881,20,*,*,*,*,*,*,2065,1598,1162,*,*,6209,10537,1742,5226,5120,2600,2520,114,580,1260,48,*,13.7,6,8046,*
1002,Alabama Agri. & Mech. Univ.,AL,1,*,*,*,17,*,*,*,*,14,17,2817,1920,984,*,*,3958,305,1700,3400,2550,1108,1442,155,500,850,53,53,14.3,*,7043,40
1003,Faulkner University,AL,2,*,*,*,20,*,*,*,*,*,*,345,320,179,*,27,1367,578,5600,5600,3250,1550,1700,300,350,*,52,56,32.8,*,3971,55
1004,University of Montevallo,AL,1,*,*,*,21,*,*,*,*,18,23,1351,892,570,18,78,2385,331,2220,4440,3030,*,*,124,300,600,72,72,18.9,8,5883,51
1005,Alabama State University,AL,1,*,*,*,*,*,*,*,*,*,*,4639,3272,1278,*,*,4051,405,1500,3000,1960,1960,*,84,500,*,48,53,18.7,*,*,15
1009,Auburn University-Main Campus,AL,1,575,501,1076,24,520,638,453,559,21,27,7548,6791,3070,25,57,16262,1716,2100,6300,3933,*,*,*,600,1908,85,91,16.7,18,6642,69
1012,Birmingham-Southern College,AL,2,575,525,1100,26,470,680,460,650,23,29,805,588,287,67,88,1376,207,11660,11660,4325,2050,2430,120,400,900,74,79,14.0,34,8649,72
1016,University of North Alabama,AL,1,*,*,*,*,*,*,*,*,*,*,1087,702,625,*,40,3772,1034,1704,2970,2536,1336,1200,20,500,*,62,68,19.4,5,4944,76
1019,Huntingdon College,AL,2,513,446,959,23,480,570,400,530,20,24,608,520,127,26,47,538,126,8080,8080,3920,1380,2540,100,500,1100,63,72,11.4,9,7703,44
1020,Jacksonville State University,AL,1,*,*,*,20,*,*,*,*,17,22,1627,1413,887,*,*,5160,1475,1740,2610,2600,1030,1570,85,570,1500,66,67,20.1,6,4604,33
1023,Judson College,AL,2,*,*,*,22,*,*,*,*,19,24,313,228,137,10,30,552,67,5780,5780,3600,*,*,*,*,*,70,70,17.9,27,5159,43
1024,Livingston University,AL,1,*,*,*,19,*,*,*,*,16,21,1206,957,444,*,*,1627,132,1740,1740,2449,1162,1287,243,570,2100,58,58,18.8,4,4272,36
1028,Miles College,AL,2,*,*,*,*,*,*,*,*,*,*,686,427,242,*,*,746,123,4000,4000,2700,1250,1450,*,600,1000,35,*,16.7,2,4455,15
1029,University of Mobile,AL,2,*,*,*,22,*,*,*,*,*,*,452,331,269,17,54,1417,301,6150,6150,3680,*,*,70,550,1200,59,63,16.6,4,5412,52
1033,Oakwood College,AL,2,382,378,760,17,*,*,*,*,*,*,949,605,385,*,*,1316,135,6639,6639,3999,*,*,368,600,2500,52,52,14.5,12,7986,*
1036,Samford University,AL,2,*,*,*,*,485,585,445,545,22,28,1680,1395,691,34,76,2959,402,8236,8236,3700,3700,*,*,569,1650,74,75,14.7,17,9533,61
1041,Spring Hill College,AL,2,525,480,990,24,480,550,430,520,22,26,773,694,230,*,*,942,224,11478,11478,4788,2450,2338,645,500,900,80,89,14.4,23,8594,70
1044,Stillman College,AL,2,*,*,*,*,*,*,*,*,*,*,629,614,248,*,*,866,22,4460,4460,2754,1683,1071,100,600,1000,47,47,14.3,*,5031,47
1046,Talladega College,AL,2,*,*,*,*,*,*,*,*,*,*,4414,1500,335,30,60,908,119,5666,5666,2964,1424,1540,418,1000,1400,56,58,15.5,7,5970,46
1047,Troy State University at Troy,AL,1,510,470,980,20,350,480,380,550,18,24,1471,1281,824,18,67,4343,990,1697,2883,2570,1450,1120,75,300,*,50,50,23.0,*,4295,48
1050,Tuskegee University,AL,2,*,*,*,*,*,*,*,*,*,*,2267,1827,611,20,59,2825,144,6735,6735,3395,3395,*,*,600,1425,70,74,12.2,7,10872,65
