FICE,Cname,State,Indicator,AMSAT,AVSAT,ACSAT,AACT,FQMSAT,TQMSAT,FQVSAT,TQVSAT,FQACT,TQACT,AppsRcvd,AppsAcpt,StdEnrolled,P10,P25,FTUGs,PTUGs,InStateTut,OosTut,RandBcost,RCost,Bcost,AddFee,EstBookCost,EstPspend,PPhD,PTermDig,SFRatio,PDonate,InsEXp,GradRate
2599,Centenary College,NJ,2,500,470,970,19,400,450,400,450,18,22,369,312,90,12,46,396,526,11400,11400,5400,5400,*,340,500,760,41,85,9.5,20,9583,24
2600,College of Saint Elizabeth,NJ,2,486,464,950,*,400,550,400,520,*,*,444,359,122,34,53,493,968,10900,10900,5250,*,*,500,380,1000,68,70,11.4,23,9447,78
2603,Drew University,NJ,2,603,564,1188,*,550,680,510,630,*,*,2153,1580,321,56,84,1192,87,18432,18432,5616,3224,2342,510,520,660,93,97,10.2,28,14907,83
2608,Georgian Court College,NJ,2,474,441,915,*,420,520,400,475,*,*,348,281,127,12,52,1095,785,9150,9150,3950,1750,2200,130,500,800,56,59,12.2,27,7348,76
2609,Rowan College of New Jersey,NJ,1,520,468,988,*,430,570,400,500,19,25,3820,1431,695,21,70,5303,3942,2342,4356,4830,*,*,753,800,800,76,81,22.1,6,7252,51
2638,Saint Peter's College,NJ,2,428,379,807,*,340,490,310,430,*,*,1606,1413,530,23,38,1921,1154,9408,9408,5520,2820,2700,295,500,450,78,78,12.1,22,7669,53
2639,Stevens Institute of Technology,NJ,2,652,521,1173,*,600,710,450,600,*,*,1768,1249,380,51,93,1263,11,16900,16900,5680,5680,*,635,450,750,89,89,19.0,33,12837,79
2642,Trenton State College,NJ,1,592,519,1111,*,540,650,470,570,*,*,5042,2312,944,55,94,5167,902,3116,5391,5411,*,*,896,700,1000,81,87,14.4,6,8504,81
2644,Upsala College,NJ,2,410,400,810,*,*,*,*,*,*,*,1540,1363,446,*,*,950,214,12500,12500,5260,*,*,200,700,500,72,88,14.0,*,*,43
4741,Rutgers State University at Camden,NJ,1,545,489,1034,*,510,590,450,530,*,*,3366,1752,232,27,79,2585,1300,3641,7411,4748,2780,1968,849,690,2009,90,95,18.6,12,10134,57
6964,Rutgers at New Brunswick,NJ,1,594,513,1107,*,530,660,460,570,*,*,48094,26330,4520,36,79,21401,3712,3640,7410,4748,2780,1986,1003,690,2009,90,95,19.5,19,10474,77
8770,Fairleigh Dickinson University,NJ,2,495,430,925,*,430,550,380,480,*,*,3148,1616,504,9,24,3553,3152,11010,11010,5400,2994,2406,611,623,*,77,87,16.7,8,9637,60
9344,Ramapo College of New Jersey,NJ,1,510,460,970,*,450,560,410,500,*,*,2088,957,362,6,29,2745,1938,3227,4449,4860,3400,1460,*,600,1655,74,95,17.8,8,7333,47
9345,Stockton College of New Jersey,NJ,1,552,489,1041,*,550,600,490,550,*,*,4019,1579,710,23,65,4365,765,2288,3040,4351,2775,1576,704,711,1125,78,92,19.5,7,5599,64
2093,Saint John's College,NM,2,*,*,*,*,520,650,550,675,27,30,285,246,126,20,45,411,*,17430,17430,5720,2790,2930,200,275,950,73,89,9.8,20,14342,61
2649,College of Santa Fe,NM,2,480,484,964,21,410,530,370,530,19,23,546,447,189,16,42,873,683,11138,11138,4138,1978,2160,330,600,1200,40,74,14.0,7,8820,80
2650,College of the Southwest,NM,2,460,390,850,19,*,*,*,*,*,*,77,61,27,7,38,352,147,3120,3120,3382,1358,2024,125,400,500,24,35,14.3,*,3190,20
2651,Eastern New Mexico University,NM,1,*,*,*,*,*,*,*,*,16,25,1256,1220,590,*,*,2762,587,1518,5586,2600,*,*,*,500,1200,73,80,19.6,2,5658,34
2653,New Mexico Highlands University,NM,1,*,*,*,17,*,*,*,*,*,*,777,649,406,5,20,1630,384,1392,5148,2380,1430,950,20,400,*,72,78,17.4,*,7664,28
2654,New Mexico Institute of Mining and Tech.,NM,1,*,*,*,26,*,*,*,*,*,*,787,601,233,40,73,1017,411,1302,5376,3214,3214,*,556,600,1100,99,100,13.7,11,9241,34
2657,New Mexico State University,NM,1,*,*,*,22,*,*,*,*,19,25,4119,3200,1663,*,*,9673,3481,1980,6432,3148,1588,1580,*,550,1066,76,*,19.6,*,6106,40
2664,Western New Mexico University,NM,1,*,*,*,17,*,*,*,*,12,21,1054,1054,470,5,25,1495,521,1394,4652,2260,1340,920,*,500,*,55,55,15.5,8,*,47
10313,Univ. of New Mexico-Main Campus,NM,1,*,*,*,22,430,580,390,530,19,24,3871,3349,1891,27,53,12257,5264,1884,7115,3516,*,*,420,584,500,91,88,14.3,*,8209,34
2568,University of Nevada at Reno,NV,1,488,432,920,22,420,500,370,480,23,25,2868,2409,1524,*,*,5916,2939,1740,6490,4560,2635,1925,20,600,2900,78,80,15.4,12,10407,54
2569,University of Nevada-Las Vegas,NV,1,486,417,903,21,*,*,*,*,17,23,*,2786,1595,25,50,7969,8008,1740,6490,4952,1702,3250,40,700,1700,76,84,14.8,14,8139,37
9192,Sierra Nevada College,NV,2,400,400,800,21,*,*,*,*,*,*,200,160,100,5,25,300,50,7500,7500,4500,2500,2000,*,500,*,45,45,7.5,*,*,29
2666,Adelphi University,NY,2,500,457,957,*,*,*,*,*,*,*,2186,1924,512,16,29,2683,1227,12280,12280,6450,*,*,*,750,1500,29,30,12.2,16,10527,56
2667,Dowling College,NY,2,440,400,840,18,370,520,340,440,16,20,1011,829,410,9,33,1059,2458,9000,9000,3100,*,3100,630,450,1413,77,78,12.4,7,11178,42
2668,Alfred University,NY,2,*,*,*,*,540,660,480,580,23,28,1732,1425,472,37,75,1830,110,16548,16548,5406,2808,2598,424,500,600,82,88,11.3,31,10932,73
2671,Bard College,NY,2,*,*,*,*,550,690,550,670,*,*,1910,838,285,50,85,1004,15,19264,19264,6206,*,*,496,750,750,98,98,10.4,30,13894,79
2681,Canisius College,NY,2,*,*,*,*,500,570,390,450,19,24,2853,2193,753,16,34,2978,434,10750,10750,5340,2750,2590,326,400,1130,90,92,14.6,26,7972,64
2685,Cazenovia College,NY,2,392,375,781,19,*,*,*,*,*,*,3847,3433,527,9,35,1010,12,9384,9384,4840,2420,2420,395,600,500,22,47,14.3,20,7697,118
2687,CUNY-Brooklyn College,NY,1,490,426,916,*,420,560,350,490,*,*,3589,2992,1367,15,40,7767,3827,2450,5050,*,*,*,155,500,700,83,100,15.6,*,7581,43
2688,CUNY - City College,NY,1,488,405,893,*,400,570,310,480,*,*,3788,2747,1269,20,45,8071,3629,2450,5050,*,*,*,93,500,*,78,88,12.8,10,9002,34
2689,CUNY-Hunter College,NY,1,446,399,845,*,370,510,330,460,*,*,6189,3212,1418,14,43,8140,5947,2450,5050,*,1600,*,107,500,500,62,*,14.1,28,7216,39
2690,CUNY - Queens College,NY,1,486,421,907,*,420,550,360,480,*,*,4681,3627,1749,12,37,8837,5624,2650,5250,*,*,*,200,500,2100,100,100,12.5,11,7488,46
2699,Clarkson University,NY,2,612,518,1130,*,570,660,450,580,*,*,2174,1953,557,35,68,2332,53,15960,15960,5580,2622,2958,323,700,1300,95,95,15.8,32,11659,77
2701,Colgate University,NY,2,623,563,1186,27,580,680,520,620,25,35,4856,2492,727,46,75,2649,25,19510,19510,5565,2690,2875,145,500,750,95,98,10.5,45,15494,93
2745,King's College,NY,2,442,465,907,25,*,*,*,*,*,*,356,233,53,16,24,246,18,8190,8190,3920,1992,1928,250,500,1000,100,100,7.0,*,11082,*
2748,Le Moyne College,NY,2,*,*,*,*,480,590,420,510,23,27,1470,1199,425,21,76,1820,558,11040,11040,4840,1950,2890,320,400,900,89,92,13.3,28,8118,94
2758,Manhattan College,NY,2,539,467,1006,*,510,590,430,540,*,*,2432,1730,563,20,63,2578,254,12370,12370,6800,6800,*,972,500,1800,92,92,13.6,25,10062,79
2760,Manhattanville College,NY,2,524,500,1024,*,490,590,470,585,*,*,962,750,212,21,54,830,150,14700,14700,6550,3600,2950,410,450,400,97,97,11.3,24,11291,70
2765,Marist College,NY,2,515,475,990,25,480,545,435,510,21,27,4731,3171,830,12,31,3557,658,10700,10700,5925,2400,3525,290,550,1200,74,81,17.6,34,8408,69
2768,Marymount College Tarrytown,NY,2,456,460,916,*,400,500,410,530,*,*,478,327,117,9,34,731,370,11510,11510,6450,*,*,390,575,1075,71,93,10.3,30,10502,77
2769,Marymount Manhattan College,NY,2,500,460,960,24,360,530,360,530,21,26,695,535,239,21,30,988,785,10200,10200,7000,7000,*,125,350,1100,63,76,11.7,20,10622,68
2772,Mercy College,NY,2,*,*,*,*,*,*,*,*,*,*,1518,1378,788,6,24,4266,1811,7200,7200,*,*,*,*,500,800,67,67,13.8,*,5585,*
2775,Molloy College,NY,2,468,435,903,*,350,540,340,490,*,*,481,401,185,16,40,1402,579,8800,8800,*,*,*,345,800,6900,38,40,9.7,13,3822,80
2777,Medaille College,NY,2,*,*,*,*,*,*,*,*,*,*,384,223,143,6,41,1146,236,8920,8920,4400,2500,1900,80,800,2050,65,70,16.2,16,7891,*
2778,Mount Saint Mary College,NY,2,450,450,900,19,390,530,370,460,*,*,1170,695,238,14,48,1170,429,7470,7470,4600,4600,*,260,250,1400,74,75,15.3,23,6898,88
2779,Nazareth College of Rochester,NY,2,540,494,1034,24,488,588,454,554,23,27,947,798,266,36,68,1274,471,10850,10850,5150,5150,*,200,550,800,77,93,13.6,24,8797,61
2785,New York University,NY,2,604,542,1146,*,550,650,490,600,*,*,13594,7244,2505,70,86,12408,2814,17748,17748,7262,*,*,991,450,1000,87,98,7.8,16,21227,71
2788,Niagara University,NY,2,*,*,*,*,430,525,400,500,19,24,2220,1796,467,65,99,1919,334,10320,10320,4762,*,*,420,450,650,68,100,14.2,20,7788,65
2790,Nyack College,NY,2,472,433,905,21,*,*,*,*,*,*,460,283,160,15,34,508,34,7950,7950,3810,1680,2130,450,600,1200,35,35,11.6,*,9685,55
2791,Pace University,NY,2,517,441,958,*,450,600,375,475,*,*,8256,3750,1522,37,70,5809,4379,11100,11000,5160,1340,3420,350,660,1115,90,95,13.8,10,10059,62
2796,Polytechnic University,NY,2,630,480,1110,*,560,670,410,560,*,*,1132,847,302,58,89,1379,214,16200,16200,4200,*,*,280,436,2486,90,90,10.4,14,14329,62
2798,Pratt Institute,NY,2,520,430,950,*,*,*,*,*,*,*,1181,903,292,*,*,1622,166,13975,13975,6740,4360,2380,380,1500,630,*,92,10.8,10,13737,58
2803,Rensselaer Polytechnic Institute,NY,2,*,*,*,28,610,710,470,590,26,30,4996,4165,936,53,82,4291,16,17475,17475,5976,*,*,550,1230,1100,94,98,15.4,21,15605,70
2805,Roberts Wesleyan College,NY,2,473,442,967,21,*,*,*,*,*,*,459,422,212,*,*,932,107,10220,10220,3546,1194,2352,214,520,1400,45,49,13.4,21,7592,46
2806,Rochester Institute of Technology,NY,2,580,495,1075,26,520,640,440,550,22,28,4704,3798,1381,30,59,7176,2578,13968,13968,5670,2604,3066,261,500,875,*,78,10.8,7,13508,68
2808,Daemen College,NY,2,470,420,890,*,*,*,*,*,*,*,939,894,269,*,*,1378,522,7950,7950,4150,*,4150,320,600,*,*,51,23.8,*,*,*
2849,SUNY College at Plattsburgh,NY,1,520,460,980,22,470,580,410,500,20,24,5549,3583,853,9,40,5004,475,2650,6550,4176,2520,1656,309,600,1380,80,90,17.9,16,6174,65
2850,SUNY College at Potsdam,NY,1,540,500,1040,23,460,560,410,500,20,24,3150,2289,650,16,51,3598,234,2650,6840,4660,2750,1910,240,500,1000,71,75,15.1,17,6436,59
2882,Syracuse University,NY,2,*,*,*,*,520,640,450,560,*,*,10477,7260,2442,28,67,10142,117,15150,15150,6870,3620,3250,360,635,960,73,84,11.3,13,14231,67
2883,Utica College of Syracuse University,NY,2,496,437,933,28,440,560,380,490,18,25,1278,978,256,*,*,1525,798,12680,12680,4924,*,*,90,525,1175,64,96,12.3,7,8344,65
2889,Union College,NY,2,*,*,*,28,*,*,*,*,26,32,3495,1712,528,49,84,1915,123,18732,18732,6204,3297,2907,190,450,1024,94,96,11.5,49,15411,88
2892,United States Merchant Marine Academy,NY,1,*,*,*,*,*,*,*,*,*,*,942,356,283,44,96,987,*,*,*,*,*,*,4090,*,75,68,85,12.8,11,22083,71
2893,United States Military Academy,NY,1,653,558,1211,28,610,708,509,613,25,29,13703,1610,1212,59,92,4229,*,*,*,*,*,*,2380,1100,*,37,37,8.8,*,46477,95
2894,University of Rochester,NY,2,*,*,*,*,550,670,470,590,23,29,8766,5498,1243,56,75,5071,438,17840,17840,6582,3978,2604,410,500,882,93,99,5.9,23,26037,80
2895,Vassar College,NY,2,625,603,1228,27,580,680,560,650,25,30,3550,1877,653,53,87,2164,77,18920,18920,5950,5950,*,465,600,800,90,98,9.7,39,17089,90
2899,Wagner College,NY,2,510,480,990,*,450,560,430,540,*,*,1416,1015,417,10,44,1324,117,13500,13500,5800,5800,*,*,585,1700,67,78,13.2,23,9006,75
2901,Wells College,NY,2,590,490,1080,24,490,580,490,590,*,*,318,240,130,40,85,416,19,14900,14900,5550,*,*,*,600,500,93,98,8.3,42,13935,69
2903,Yeshiva University,NY,2,621,553,1174,*,560,675,510,630,*,*,1002,857,606,*,*,1948,42,12584,12584,4192,2892,1300,270,520,1390,86,90,5.2,38,22724,63
